Nr,Sp,Peso_gr,Longitud_mm,Diametro_mm,Cond
230,ER,4.05,23.12,17.87,Q1
231,ER,3.85,23.85,16.77,Q1
232,ER,4.8,24.64,19.45,Q3
233,ER,3.29,24.84,15.43,Q1
234,ER,4.14,24.37,17.37,Q2
235,ER,3.11,21.71,16.45,Q1
236,ER,2.81,21.95,17.14,Q1
237,ER,4.28,23.72,17.06,Q2
238,ER,5.14,25.92,18.92,Q4
239,ER,4.77,25.54,18.64,Q3
240,ER,3.77,23.78,16.41,Q1
241,ER,5.12,25.62,19.74,Q4
242,ER,2.22,21.96,12.67,Pobre
243,ER,4.25,23.09,17.59,Q2
244,ER,2.87,23.17,14.92,Q1
245,ER,4.18,23.54,19.52,Q2
246,ER,4.34,24.89,16.81,Q2
247,ER,1.87,22.17,16.48,Pobre
248,ER,3.86,24.42,16.53,Q1
249,ER,4.15,22.86,18.14,Q2
250,ER,3.73,22.79,16.92,Q1
251,ER,4.71,24.02,17.92,Q3
252,ER,4.96,24.24,18.76,Q3
253,ER,4.75,23.12,18.85,Q3
254,ER,4.66,24.52,17.33,Q3
255,ER,5.15,25.24,19.11,Q4
256,ER,4.83,24.24,18.81,Q3
257,ER,5.2,24.23,18.18,Q4
258,ER,4.25,22.43,17.57,Q2
259,ER,4.23,23.11,17.25,Q2
260,ER,4.64,25.67,17.97,Q3
261,ER,4.25,24.41,17.13,Q2
262,ER,4.5,25.43,18.4,Q2
263,ER,4.22,22.45,17.35,Q2
264,ER,2.13,20.12,14.73,Pobre
265,ER,2.63,21.95,16.11,Pobre
266,ER,3.78,23.68,16.61,Q1
267,ER,3.57,23.4,16.35,Q1
268,ER,4.18,23.82,17.56,Q2
269,ER,4.82,23,17.56,Q3
271,ER,1.97,20.62,13.92,Pobre
272,ER,3.38,27.85,14.84,Q1
274,ER,4.97,24.98,17.83,Q3
275,ER,4.66,24.78,18.41,Q3
277,ER,4.34,24.38,18.09,Q2
278,ER,4.31,23.6,17.5,Q2
280,ER,4.5,23.91,17.83,Q2
281,ER,4.94,26.13,18.37,Q3
282,ER,3.95,24.07,16.93,Q1
283,ER,3.82,26.3,16.26,Q1
284,ER,3.85,25.3,16.34,Q1
285,ER,3.8,23.65,16.53,Q1
286,ER,4.46,24.91,17.77,Q2
287,ER,5.06,25.25,17.91,Q4
288,ER,4.88,24.95,18.81,Q3
289,ER,4.85,24.59,18.54,Q3
290,ER,2.87,23.4,16.25,Q1
291,ER,4.89,24.56,18.74,Q3
292,ER,4.53,25.94,17.74,Q3
293,ER,4.95,25.53,18.39,Q3
294,ER,4.53,25.92,16.6,Q3
295,ER,3.6,24.44,15.95,Q1
296,ER,3.98,24.8,16.86,Q1
297,ER,3.95,24.58,16.55,Q1
298,ER,4.36,24.83,17.5,Q2
299,ER,4.69,25.11,17.45,Q3
300,ER,3.74,24.35,16.4,Q1
301,ER,4.52,25.51,17.55,Q3
302,ER,3.94,24.72,16.65,Q1
303,ER,5.43,24.72,19.08,Q4
304,ER,3.92,25.04,16.6,Q1
305,ER,3.12,24.57,15.04,Q1
306,ER,4.45,25.61,17.28,Q2
307,ER,4.45,24.71,17.72,Q2
308,ER,4.53,23.78,17.7,Q3
309,ER,4.22,23.63,17.37,Q2
310,ER,5.12,23.85,19.4,Q4
311,ER,4.72,24.55,17.81,Q3
312,ER,1.23,18.1,11.95,Pobre
313,ER,3.77,22.24,17.21,Q1
314,ER,4.26,24.89,17.41,Q2
